row_type,generated_at,subject,subject_total_questions,subject_active_questions,subject_active_ratio_pct,class,area,subarea,difficulty,language,active,count,share_subject_pct
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,3,problemi,moltiplicazione,2,it,1,80,8.70
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,3,problemi,multi-step,2,it,1,4,0.43
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,3,problemi,sottrazione,2,it,1,26,2.83
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,4,problemi,addizione,3,it,1,7,0.76
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,4,problemi,divisione,3,it,1,4,0.43
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,4,problemi,due operazioni,3,it,1,142,15.43
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,4,problemi,frazioni,3,it,1,61,6.63
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,4,problemi,moltiplicazione,3,it,1,7,0.76
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,4,problemi,multi-step,3,it,1,4,0.43
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,4,problemi,sottrazione,3,it,1,4,0.43
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,5,problemi,addizione,4,it,1,7,0.76
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,5,problemi,divisione,4,it,1,4,0.43
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,5,problemi,due operazioni,4,it,1,7,0.76
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,5,problemi,geometria applicata,4,it,1,25,2.72
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,5,problemi,moltiplicazione,4,it,1,7,0.76
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,5,problemi,multi-step,4,it,1,87,9.46
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,5,problemi,percentuali,4,it,1,64,6.96
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,5,problemi,proporzioni,4,it,1,24,2.61
detail,2026-04-20T04:40:07Z,problemi,920,920,100.00,5,problemi,sottrazione,4,it,1,4,0.43
subject_summary,2026-04-20T04:40:07Z,scienze,723,723,100.00,,,,,,,,
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,corpo_umano_salute,alimentazione,2,it,1,4,0.55
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,corpo_umano_salute,corpo_salute,1,it,1,2,0.28
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,corpo_umano_salute,corpo_salute,2,it,1,3,0.41
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,corpo_umano_salute,salute_e_igiene,1,it,1,8,1.11
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,corpo_umano_salute,sensi_e_bisogni,1,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,corpo_umano_salute,sensi_e_salute,1,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,corpo_umano_salute,sensi_e_salute,2,it,1,2,0.28
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,materia_materiali_trasformazioni,acqua_e_ciclo,2,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,materia_materiali_trasformazioni,ciclo_dell_acqua,2,it,1,9,1.24
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,materia_materiali_trasformazioni,materiali_e_acqua,1,it,1,3,0.41
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,materia_materiali_trasformazioni,materiali_e_acqua,2,it,1,1,0.14
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,materia_materiali_trasformazioni,materiali_e_oggetti,1,it,1,5,0.69
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,materia_materiali_trasformazioni,materiali_e_proprieta,1,it,1,10,1.38
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,materia_materiali_trasformazioni,stati_della_materia,1,it,1,7,0.97
detail,2026-04-20T04:40:07Z,scienze,723,723,100.00,2,terra_stagioni_ambiente,ambiente_stagioni,1,it,1,5,0.69
